lastupdate.aqi.level,lastupdate.aqi.aqi,lastupdate.co.unit,lastupdate.co.value,lastupdate.no2.unit,lastupdate.no2.value,lastupdate.o3.unit,lastupdate.o3.value,lastupdate.pm10.unit,lastupdate.pm10.value,lastupdate.pm25.unit,lastupdate.pm25.value,lastupdate.so2.unit,lastupdate.so2.value,lastupdate.date,lastupdate.time,areaen,areath,lat,long,nameen,nameth,stationid,stationtype
4,109,ppm,N/A,ppb,26,ppb,8,µg/m³,92,µg/m³,54,ppb,3,2/9/2019,9:00,"Mae Mo, Mae Mo, Lampang","ต.แม่เมาะ อ.แม่เมาะ, ลำปาง",18.282664,99.659873,Provincial Waterworks Authority Mae Moh,การประปาส่วนภูมิภาคแม่เมาะ,40t,GROUND
2,46,ppm,0.55,ppb,26,ppb,2,µg/m³,63,µg/m³,35,ppb,2,2/9/2019,9:00,"ฺBan Klang, Mueang, Lamphun","ต.บ้านกลาง อ.เมือง, ลำพูน",18.567179,99.03856,"Meteorological Staions, Lamphun",อุตุนิยมวิทยาลำพูน,68t,GROUND
1,3,ppm,0.6,ppb,-,ppb,-,µg/m³,-,µg/m³,-,ppb,7,1/31/2019,12:00,"Hat Yai, Songkhla","ต.หาดใหญ่ อ.หาดใหญ่, สงขลา",7.020545,100.48404,Hat Yai Municipality,เทศบาลนครหาดใหญ่ ,44t,GROUND
1,11,ppm,0.34,ppb,4,ppb,10,µg/m³,22,µg/m³,11,ppb,1,2/9/2019,9:00,"Phiman, Mueang, Satun","ต.พิมาน อ.เมือง, จ.สตูล",6.624686,100.066212,"City Hall, Satun",ศาลากลาง จ.สตูล,80t,GROUND
2,37,ppm,0.01,ppb,12,ppb,3,µg/m³,64,µg/m³,29,ppb,0,2/9/2019,9:00,"Song Kanong, Phra Pradaeng, Samut Prakan","ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ",13.664023,100.543406,Prabadang Rehabiltation Center,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ ,08t,GROUND
1,17,ppm,-,ppb,-,ppb,-,µg/m³,25,µg/m³,17,ppb,-,2/9/2019,9:00,"Talat, Phra Pradaeng, Samut Prakan","ต.ตลาด อ.พระประแดง, สมุทรปราการ",13.652154,100.53184,Residence for Dept. of Mineral Resources,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,17t,GROUND
1,22,ppm,0.17,ppb,10,ppb,31,µg/m³,24,µg/m³,15,ppb,0,2/9/2019,9:00,"Pak Nam, Meuang, Samut Prakan","ต.ปากน้ำ อ.เมือง, สมุทรปราการ",13.599172,100.597332,City Hall,ศาลากลางจังหวัดสมุทรปราการ ,18t,GROUND
1,19,ppm,0.48,ppb,18,ppb,-,µg/m³,35,µg/m³,19,ppb,4,2/9/2019,9:00,"Bang Sao Thong, Bang Sao Thong, Samut Prakan ","ต.บางเสาธง,อ.บางเสาธง, สมุทรปราการ",13.570333,100.785866,National Housing Authority Bangplee,การเคหะชุมชนเมืองใหม่บางพลี ,19t,GROUND
1,23,ppm,0.6,ppb,18,ppb,8,µg/m³,42,µg/m³,23,ppb,4,2/9/2019,9:00,"Om Noi, Krathum Baen, Samut Sakhon","ต.อ้อมน้อย, อ.กระทุ่มแบน, สมุทรสาคร",13.705458,100.315675,Highway District,แขวงการทางสมุทรสาคร ,14t,GROUND
1,12,ppm,N/A,ppb,2,ppb,4,µg/m³,23,µg/m³,10,ppb,1,2/9/2019,9:00,"Maha Chai, Mueang, Samut Sakhon","ริมถนนคู่ขนานพระราม 2, อ.เมือง สมุทรสาคร",13.550478,100.264254,Samut Sakhon Wittayalai School,โรงเรียนสมุทรสาครวิทยาลัย,27t,GROUND
